,Longitude,Latitude,Temperature,Humidity,% Cloudiness,Wind Speed
Hauterive,3.45,46.09,9.26,32,0,4.1
Vredendal,18.49,-31.68,7.76,74,0,2.22
Parvatsar,74.77,26.88,26.41,20,0,2.67
Taybad,60.78,34.74,15.01,74,24,5.67
Olinda,-79.75,-2.03,24.86,88,90,1.5
Parana,-72.89,-7.52,27.0,88,0,0.97
Hami,93.51,42.84,17.46,49,12,3.92
Malartic,-78.13,48.14,-1.43,63,40,5.7
Bogovarovo,47.02,58.98,-2.74,90,80,1.57
Zhanaozen,52.85,43.35,6.66,96,92,7.52
Kununurra,128.74,-15.77,32.0,18,0,3.6
Koslan,48.9,63.46,-4.09,74,0,3.02
Muswellbrook,150.89,-32.27,24.44,74,76,0.89
Chanika,34.19,-12.93,21.06,95,56,0.62
Marsaxlokk,14.54,35.84,13.04,93,20,1.5
Chifeng,118.96,42.27,4.26,48,0,2.62
Honiara,159.96,-9.43,28.26,79,68,1.22
Rafai,23.92,4.95,24.16,77,64,2.97
Kirakira,161.92,-10.46,28.71,100,44,4.02
Aasiaat,-52.87,68.71,-8.64,91,8,9.02
Uvat,68.9,59.14,0.46,79,24,6.47
Mangalore,74.84,12.87,28.0,78,40,1.5
Nyahururu,36.37,0.03,6.96,84,0,0.42
Istok,23.48,52.66,-1.74,74,0,2.0
Aurillac,2.44,44.93,7.72,48,90,3.1
Santa Cruz,-122.03,36.97,14.56,67,20,0.72
Salta,-65.41,-24.79,20.0,94,90,1.5
Flinders,150.85,-34.58,21.8,49,75,4.1
Saint Anthony,-111.68,43.97,5.15,45,75,3.1
San Quintin,120.52,17.54,27.46,63,56,1.62
Matsubase,130.67,32.65,12.92,35,75,5.1
Les Cayes,-73.75,18.19,25.96,100,56,3.22
Chirilagua,-88.14,13.22,26.41,100,8,3.47
